Einkauflsliste
Anz Name                          Lieferant                               Gebindegr�sse    Einzelpreis  Summe  
206 Hokkaido-Kuerbis              Metri AG                                  1000.0 g             1,92       395,52
183 Karotten                      Metri AG                                  1000.0 g             3,53       645,99
249 Paprika                       Metri AG                                    10.0               9,75      2427,75
  6 Ingwer                        Metri AG                                  1000.0 g             9,07        54,42
105 Kokosmilch                    Metri AG                                     1.0 l             3,46       363,30
259 Toastbrot                     Metri AG                                  1000.0 g             2,37       613,83
 19 Preiselbeeren                 Metri AG                                  1000.0 g             5,54       105,26
 57 Pizzateig vorgebacken         Metri AG                                    10.0               8,68       494,76
 57 Analogkaese                   Metri AG                                  1000.0 g             2,64       150,48
  2 Italienische Gewuerzmischung  Metri AG                                  1000.0 g             5,26        10,52
135 Passierte Tomaten             Metri AG                                  1000.0 g             2,36       318,60
 97 Salz                          Metri AG                                  1000.0 g             0,75        72,75
135 Dosenananas                   Metri AG                                  1000.0 g             6,71       905,85
105 Kochschinken                  Metri AG                                  1000.0 g             4,37       458,85
 98 Dosenmais                     Metri AG                                  1000.0 g             3,06       299,88
 10 Salatsauce                    Metri AG                                  1000.0 g             1,89        18,90
124 Pflanzenoel                   Metri AG                                  1000.0 g             1,34       166,16
 38 Spaetzle                      Metri AG                                  1000.0 g             3,60       136,80
336 Zwiebel                       Metri AG                                    10.0               0,87       292,32
 83 Emmentaler                    Metri AG                                  1000.0 g             5,13       425,79
 43 Pfeffer                       Metri AG                                  1000.0 g             7,63       328,09
131 Ringli                        Metri AG                                  1000.0 g             1,99       260,69
 56 Olivenoel                     Metri AG                                  1000.0 g             1,01        56,56
 38 Scheiblettenkaese             Metri AG                                  1000.0 g             3,76       142,88
 19 Schupfnudeln                  Metri AG                                  1000.0 g             5,74       109,06
 57 Broccoli                      Metri AG                                  1000.0 g             3,76       214,32
 10 Sonnenblumenkerne             Metri AG                                  1000.0 g             6,17        61,70
227 Sahne                         Metri AG                                  1000.0 g             2,19       497,13
  9 Basilikum                     Metri AG                                  1000.0 g             6,06        54,54
283 Schweinefilet                 Metri AG                                  1000.0 g            13,78      3899,74
 57 Halbbitterschokolade          Metri AG                                  1000.0 g             9,01       513,57
 21 Petersilie                    Metri AG                                  1000.0 g             6,87       144,27
 10 Sojasauce                     Metri AG                                  1000.0 g             5,29        52,90
 88 Erbsen                        Metri AG                                  1000.0 g             4,81       423,28
 55 Dosenchampignons 3. Wahl      Metri AG                                  1000.0 g             1,95       107,25
111 Butter                        Metri AG                                  1000.0 g             3,30       366,30
270 Weissweinverschnitt           Metri AG                                     1.0 l             0,73       197,10
161 Penne                         Metri AG                                  1000.0 g             1,76       283,36
  2 Tomatenmark                   Metri AG                                  1000.0 g             4,37         8,74
 47 Suppengruen gemischt          Metri AG                                  1000.0 g             2,23       104,81
109 Lorbeerblatt                  Metri AG                                    10.0               2,18       237,62
396 Ei                            Metri AG                                    10.0               0,97       384,12
128 Zucchini                      Metri AG                                  1000.0 g             2,58       330,24
136 Gouda                         Metri AG                                  1000.0 g             4,95       673,20
115 Basmatireis                   Metri AG                                  1000.0 g             3,74       430,10
 20 Sojasprossen                  Metri AG                                  1000.0 g             6,06       121,20
 24 Cannelloni                    Metri AG                                  1000.0 g             1,85        44,40
124 Spinat                        Metri AG                                  1000.0 g             5,90       731,60
  9 Muskat                        Metri AG                                  1000.0 g             6,57        59,13
 30 Gemuesebratling               Metri AG                                    10.0               9,06       271,80
 35 Ketchup                       Metri AG                                  1000.0 g             3,30       115,50
 19 Nasi-Goreng Convenience       Metri AG                                    10.0               9,78       185,82
 38 Banane                        Metri AG                                    10.0               6,06       230,28
  5 Salbei                        Metri AG                                  1000.0 g             7,08        35,40
 75 Seelachs                      Metri AG                                  1000.0 g             7,73       579,75
 11 Dill                          Metri AG                                  1000.0 g             6,60        72,60
 14 Schnittlauch                  Metri AG                                  1000.0 g             6,97        97,58
 10 Blaetterteig                  Metri AG                                  1000.0 g             6,80        68,00
260 Milch                         Metri AG                                     1.0 l             0,81       210,60
 19 Erdbeeren                     Metri AG                                  1000.0 g             5,69       108,11
 56 Feta                          Metri AG                                  1000.0 g             5,32       297,92
292 Tomaten                       Metri AG                                    10.0               3,64      1062,88
  1 Safran                        Metri AG                                  1000.0 g         6743,05      6743,05
  9 Oregano                       Metri AG                                  1000.0 g             8,31        74,79
  6 Senf                          Metri AG                                  1000.0 g             5,58        33,48
 71 Spaghetti                     Metri AG                                  1000.0 g             1,94       137,74
 89 Schweinebauch                 Metri AG                                  1000.0 g             3,30       293,70
 38 Magenbitter                   Metri AG                                     1.0 l            20,24       769,12
 19 Pesto Rosso                   Metri AG                                  1000.0 g            17,65       335,35
 15 Parmesan                      Metri AG                                  1000.0 g             4,34        65,10
 10 Sesam                         Metri AG                                  1000.0 g             7,01        70,10
  6 Pesto Trueffel-Pilz           Metri AG                                  1000.0 g            27,67       166,02
 17 Speiseoel                     Metri AG                                  1000.0 g             0,87        14,79
 12 Convenience Maultaschen       Metri AG                                    10.0               5,40        64,80
 23 Kidneybohnen                  Metri AG                                  1000.0 g             6,17       141,91
 34 Burgerbroetchen               Metri AG                                    10.0               5,91       200,94
  2 Eingelegter gruener Pfeffer   Metri AG                                  1000.0 g            10,60        21,20
  3 Mascarpone                    Metri AG                                  1000.0 g             5,12        15,36
 28 Eiweissrohmasse               Metri AG                                  1000.0 g             1,95        54,60
 23 Lebensmittelfarbe rot         Metri AG                                     1.0 l             1,75        40,25
  1 Garnelenaroma                 Metri AG                                  1000.0 g             4,67         4,67
 12 Cocktailsauce                 Metri AG                                     1.0 l             4,60        55,20
 57 Forelle                       Metri AG                                  1000.0 g            14,62       833,34
 85 Raeuchertofu                  Metri AG                                  1000.0 g            12,81      1088,85
 12 Zaziki                        Metri AG                                  1000.0 g             3,98        47,76
 67 Pommes Frites TK              Metri AG                                  1000.0 g             2,11       141,37
  2 Gyrosgewuerz                  Metri AG                                  1000.0 g             8,36        16,72
  6 Bulgur                        Metri AG                                  1000.0 g             2,72        16,32
 12 MensaFix fuer braune Pampe    Metri AG                                  1000.0 g             0,95        11,40
 18 Mayonnaise                    Metri AG                                  1000.0 g             2,85        51,30
  2 Grundsauce Dunkel             Metri AG                                  1000.0 g            10,95        21,90
 23 Apfelmus                      Metri AG                                  1000.0 g             2,74        63,02
 23 Rotwein                       Metri AG                                     1.0 l             1,12        25,76
  6 Pesto Verde                   Metri AG                                  1000.0 g            24,08       144,48
 12 Joghurt                       Metri AG                                  1000.0 g             2,06        24,72
 29 Chilipulver                   Carrefar S.A.                             1000.0 g             6,52       189,08
 24 Currypulver                   Carrefar S.A.                             1000.0 g             6,82       163,68
 57 Gemuesebruehe                 Carrefar S.A.                             1000.0 g             5,04       287,28
 42 Camembert                     Carrefar S.A.                               10.0               8,64       362,88
 10 Salatgurke                    Carrefar S.A.                               10.0               7,08        70,80
 24 Knoblauchpulver               Carrefar S.A.                             1000.0 g             6,29       150,96
 29 Blumenkohl                    Carrefar S.A.                             1000.0 g             2,62        75,98
 57 Pilzravioli Convenience       Carrefar S.A.                             1000.0 g             8,82       502,74
 38 Hollandaise                   Carrefar S.A.                             1000.0 g             2,59        98,42
 19 Pangasius                     Carrefar S.A.                             1000.0 g             7,37       140,03
116 Wildlachs                     Carrefar S.A.                             1000.0 g            10,71      1242,36
  5 Liebstoeckel                  Carrefar S.A.                             1000.0 g             7,56        37,80
 38 Convenience Knoedel           Carrefar S.A.                               10.0               3,99       151,62
159 Reis                          Carrefar S.A.                             1000.0 g             3,11       494,49
  7 Kartoffeln                    Carrefar S.A.                           100000.0 g           205,00       1435,00
 13 Semmelbroesel                 Carrefar S.A.                             1000.0 g             2,76        35,88
 39 Zitrone                       Carrefar S.A.                               10.0               3,40       132,60
 28 Lauch                         Carrefar S.A.                             1000.0 g             3,41        95,48
 20 Mononatriumglutamat           Carrefar S.A.                             1000.0 g             1,06        21,20
 30 Sellerie                      Carrefar S.A.                             1000.0 g             1,83        54,90
  9 Kurkuma                       Carrefar S.A.                             1000.0 g             7,57        68,13
 18 Creme Fraiche mit Kraeutern   Carrefar S.A.                             1000.0 g             3,94        70,92
 83 Raclettekaese                 Carrefar S.A.                             1000.0 g             6,87       570,21
117 Birnen                        Carrefar S.A.                             1000.0 g             4,89       572,13
 29 Johannisbeeren                Carrefar S.A.                             1000.0 g             5,37       155,73
 38 Pommes Macaires TK            Carrefar S.A.                             1000.0 g             2,18        82,84
 14 Grundsauce Hell               Carrefar S.A.                             1000.0 g            10,71       149,94
 42 Bratwurst                     Carrefar S.A.                             1000.0 g             3,43       144,06
 38 Vollmilchschokolade           Carrefar S.A.                             1000.0 g             6,40       243,20
 19 Kirschen                      Carrefar S.A.                             1000.0 g             4,67        88,73
 11 Essig                         Carrefar S.A.                             1000.0 g             1,18        12,98
 23 Zucker                        Carrefar S.A.                             1000.0 g             0,86        19,78
 77 Schweinesteak                 Carrefar S.A.                             1000.0 g             8,61       662,97
 23 Dosenthunfisch                Carrefar S.A.                             1000.0 g             7,93       182,39
  9 Vanillinzucker                Carrefar S.A.                             1000.0 g             2,58        23,22
 29 Rundkornreis                  Carrefar S.A.                             1000.0 g             3,16        91,64
  3 Zimt                          Carrefar S.A.                             1000.0 g             6,12        18,36
 34 Rumpsteak                     Carrefar S.A.                             1000.0 g             6,07       206,38
  6 Kraeuterbutter                Carrefar S.A.                             1000.0 g             3,71        22,26
  4 Kreuzkuemmel                  Carrefar S.A.                             1000.0 g             5,98        23,92
  3 Remoulade                     Carrefar S.A.                             1000.0 g             2,15         6,45
 12 Sherry                        Carrefar S.A.                                1.0 l             7,72        92,64
 17 Mozzarellakugeln              Carrefar S.A.                             1000.0 g             5,08        86,36
 12 Gorgonzola                    Carrefar S.A.                             1000.0 g             5,03        60,36
 17 Soja-Gyros                    Carrefar S.A.                             1000.0 g             6,82       115,94
 29 Kohl                          Carrefar S.A.                             1000.0 g             1,84        53,36
  3 Backpulver                    Carrefar S.A.                             1000.0 g             4,42        13,26
 43 Gnocchi                       Carrefar S.A.                             1000.0 g             3,84       165,12
 12 Buttergemuese TK              Carrefar S.A.                             1000.0 g             4,29        51,48
 41 Auberginen                    Carrefar S.A.                             1000.0 g             3,25       133,25
 51 Truthahnfilet                 Metzgerfachhandel Schneider               1000.0 g             5,86       298,86
 57 Speck                         Metzgerfachhandel Schneider               1000.0 g             4,47       254,79
 26 Rindersalami                  Metzgerfachhandel Schneider               1000.0 g             5,73       148,98
 38 Currywurst                    Metzgerfachhandel Schneider               1000.0 g             3,63       137,94
  6 Leberwurst                    Metzgerfachhandel Schneider               1000.0 g             4,21        25,26
 38 Cordon Bleu TK                Metzgerfachhandel Schneider                 10.0               7,18       272,84
  7 Schmalz                       Metzgerfachhandel Schneider               1000.0 g             1,45        10,15
 57 Elchfleisch                   Metzgerfachhandel Schneider               1000.0 g             9,60       547,20
 72 Hackfleisch halb und halb     Metzgerfachhandel Schneider               1000.0 g             3,33       239,76
 34 Rindfleisch                   Metzgerfachhandel Schneider               1000.0 g             4,74       161,16
 32 Kopfsalat                     Biohof Maier – direkt an der A40        1000.0 g             1,71        54,72
 19 Dinkelschrot                  Biohof Maier – direkt an der A40        1000.0 g             1,98        37,62
 19 Magerquark                    Biohof Maier – direkt an der A40        1000.0 g             2,77        52,63
 62 Mehl                          Biohof Maier – direkt an der A40        1000.0 g             1,07        66,34
  6 Thymian                       Biohof Maier – direkt an der A40        1000.0 g             8,00         48,00
  1 Piment                        Biohof Maier – direkt an der A40        1000.0 g             4,97         4,97
  1 Rosmarin                      Biohof Maier – direkt an der A40        1000.0 g             7,20         7,20
  1 Estragon                      Biohof Maier – direkt an der A40        1000.0 g             7,23         7,23
  1 Kuemmel                       Biohof Maier – direkt an der A40        1000.0 g             4,81         4,81
280 Haehnchenbrustfilet           Naturschlachterei Hackebeil               1000.0 g             4,99      1397,20
  2 Fleischbruehe                 Naturschlachterei Hackebeil               1000.0 g             3,21         6,42
