Einkauflsliste
Anz Name                          Lieferant                               Gebindegr�sse    Einzelpreis  Summe  
 63 Ringli                        Metri AG                                  1000.0 g            1.99       125.37
120 Dosenmais                     Metri AG                                  1000.0 g            3.06       367.2
 96 Erbsen                        Metri AG                                  1000.0 g            4.81       461.76
175 Gouda                         Metri AG                                  1000.0 g            4.95       866.25
330 Ei                            Metri AG                                    10.0              0.97       320.1
126 Salz                          Metri AG                                  1000.0 g            0.75        94.5
 40 Pfeffer                       Metri AG                                  1000.0 g            7.63       305.2
249 Paprika                       Metri AG                                    10.0              9.75      2427.75
167 Penne                         Metri AG                                  1000.0 g            1.76       293.92
 19 Pesto Rosso                   Metri AG                                  1000.0 g           17.65       335.35
 12 Parmesan                      Metri AG                                  1000.0 g            4.34        52.08
 19 Convenience Maultaschen       Metri AG                                    10.0              5.4        102.6
155 Pflanzenoel                   Metri AG                                  1000.0 g            1.34       207.7
 12 Schnittlauch                  Metri AG                                  1000.0 g            6.97        83.64
276 Zwiebel                       Metri AG                                    10.0              0.87       240.12
401 Tomaten                       Metri AG                                    10.0              3.64      1459.64
 75 Dosenthunfisch                Metri AG                                  1000.0 g            9.01       675.75
238 Milch                         Metri AG                                     1.0 l            0.81       192.78
 73 Dosenchampignons 3. Wahl      Metri AG                                  1000.0 g            1.95       142.35
 24 Cannelloni                    Metri AG                                  1000.0 g            1.85        44.4
 82 Spinat                        Metri AG                                  1000.0 g            5.9        483.8
115 Butter                        Metri AG                                  1000.0 g            3.3        379.5
 11 Muskat                        Metri AG                                  1000.0 g            6.57        72.27
 38 Safran                        Metri AG                                  1000.0 g         6743.05    256235.9
 38 Suppengruen gemischt          Metri AG                                  1000.0 g            2.23        84.74
 14 Petersilie                    Metri AG                                  1000.0 g            6.87        96.18
 86 Lorbeerblatt                  Metri AG                                    10.0              2.18       187.48
289 Weissweinverschnitt           Metri AG                                     1.0 l            0.73       210.97
143 Schweinesteak                 Metri AG                                  1000.0 g           12.15      1737.45
 10 MensaFix fuer braune Pampe    Metri AG                                  1000.0 g            0.95         9.5
267 Zucchini                      Metri AG                                  1000.0 g            2.58       688.86
 98 Kochschinken                  Metri AG                                  1000.0 g            4.37       428.26
 10 Salatsauce                    Metri AG                                  1000.0 g            1.89        18.9
381 Toastbrot                     Metri AG                                  1000.0 g            2.37       902.97
291 Sahne                         Metri AG                                  1000.0 g            2.19       637.29
 12 Dill                          Metri AG                                  1000.0 g            6.6         79.2
  6 Salbei                        Metri AG                                  1000.0 g            7.08        42.48
 90 Basmatireis                   Metri AG                                  1000.0 g            3.74       336.6
148 Pommes Frites TK              Metri AG                                  1000.0 g            2.11       312.28
 15 Mayonnaise                    Metri AG                                  1000.0 g            2.85        42.75
 21 Ketchup                       Metri AG                                  1000.0 g            3.3         69.3
 38 Spaghetti                     Metri AG                                  1000.0 g            1.94        73.72
162 Passierte Tomaten             Metri AG                                  1000.0 g            2.36       382.32
 19 Rotwein                       Metri AG                                     1.0 l            1.12        21.28
  9 Oregano                       Metri AG                                  1000.0 g            8.31        74.79
  6 Basilikum                     Metri AG                                  1000.0 g            6.06        36.36
 10 Joghurt                       Metri AG                                  1000.0 g            2.06        20.6
 94 Eiweissrohmasse               Metri AG                                  1000.0 g            1.95       183.3
 75 Lebensmittelfarbe rot         Metri AG                                     1.0 l            1.75       131.25
  3 Garnelenaroma                 Metri AG                                  1000.0 g            4.67        14.01
 38 Cocktailsauce                 Metri AG                                     1.0 l            4.6        174.8
 57 Zaziki                        Metri AG                                  1000.0 g            3.98       226.86
  2 Gyrosgewuerz                  Metri AG                                  1000.0 g            8.36        16.72
 38 Kugelfisch-Muskelfleisch      Metri AG                                  1000.0 g          118.61      4507.18
135 Kokosmilch                    Metri AG                                     1.0 l            3.46       467.1
  8 Grundsauce Dunkel             Metri AG                                  1000.0 g           10.95        87.6
 60 Kidneybohnen                  Metri AG                                  1000.0 g            6.17       370.2
 47 Spaetzle                      Metri AG                                  1000.0 g            3.6        169.2
 57 Scheiblettenkaese             Metri AG                                  1000.0 g            3.76       214.32
  6 Senf                          Metri AG                                  1000.0 g            5.58        33.48
141 Emmentaler                    Metri AG                                  1000.0 g            5.13       723.33
  4 Mascarpone                    Metri AG                                  1000.0 g            5.12        20.48
 38 Raeuchertofu                  Metri AG                                  1000.0 g           12.81       486.78
169 Hokkaido-Kuerbis              Metri AG                                  1000.0 g            1.92       324.48
 75 Pangasius                     Metri AG                                  1000.0 g            9.25       693.75
 38 Feta                          Metri AG                                  1000.0 g            5.32       202.16
 19 Nasi-Goreng Convenience       Metri AG                                    10.0              9.78       185.82
 42 Banane                        Metri AG                                    10.0              6.06       254.52
178 Schweinefilet                 Metri AG                                  1000.0 g           13.78      2452.84
 64 Halbbitterschokolade          Metri AG                                  1000.0 g            9.01       576.64
 42 Apfelmus                      Metri AG                                  1000.0 g            2.74       115.08
 96 Gnocchi                       Metri AG                                  1000.0 g            4.03       386.88
  4 Tomatenmark                   Metri AG                                  1000.0 g            4.37        17.48
 12 Schupfnudeln                  Metri AG                                  1000.0 g            5.74        68.88
 12 Broccoli                      Metri AG                                  1000.0 g            3.76        45.12
  6 Sonnenblumenkerne             Metri AG                                  1000.0 g            6.17        37.02
 45 Pizzateig vorgebacken         Metri AG                                    10.0              8.68       390.6
 45 Analogkaese                   Metri AG                                  1000.0 g            2.64       118.8
  2 Italienische Gewuerzmischung  Metri AG                                  1000.0 g            5.26        10.52
  9 Sojasprossen                  Metri AG                                  1000.0 g            6.06        54.54
 20 Olivenoel                     Metri AG                                  1000.0 g            1.01        20.2
 17 Speiseoel                     Metri AG                                  1000.0 g            0.87        14.79
 23 Preiselbeeren                 Metri AG                                  1000.0 g            5.54       127.42
  6 Pesto Trueffel-Pilz           Metri AG                                  1000.0 g           27.67       166.02
 45 Burgerbroetchen               Metri AG                                    10.0              5.91       265.95
 23 Erdbeeren                     Metri AG                                  1000.0 g            5.69       130.87
 17 Fischreste gepresst           Metri AG                                  1000.0 g            5.92       100.64
  6 Bulgur                        Metri AG                                  1000.0 g            2.72        16.32
 17 Hummer                        Metri AG                                  1000.0 g           27.37       465.29
 57 Forelle                       Metri AG                                  1000.0 g           14.62       833.34
  6 Sesam                         Metri AG                                  1000.0 g            7.01        42.06
 12 Gemuesebratling               Metri AG                                    10.0              9.06       108.72
  6 Blaetterteig                  Metri AG                                  1000.0 g            6.8         40.8
 12 Pesto Verde                   Metri AG                                  1000.0 g           24.08       288.96
 56 Schweinebauch                 Metri AG                                  1000.0 g            3.3        184.8
 23 Magenbitter                   Metri AG                                     1.0 l           20.24       465.52
 56 Belgisches Kirschbier         Metri AG                                     1.0 l            5.4        302.4
 45 Seelachs                      Metri AG                                  1000.0 g            7.73       347.85
 17 Grundsauce Hell               Carrefar S.A.                             1000.0 g           10.71       182.07
137 Reis                          Carrefar S.A.                             1000.0 g            3.11       426.07
 13 Backpulver                    Carrefar S.A.                             1000.0 g            4.42        57.46
 20 Zucker                        Carrefar S.A.                             1000.0 g            0.86        17.2
 16 Creme Fraiche mit Kraeutern   Carrefar S.A.                             1000.0 g            3.94        63.04
 19 Mononatriumglutamat           Carrefar S.A.                             1000.0 g            1.06        20.14
 48 Gemuesebruehe                 Carrefar S.A.                             1000.0 g            5.04       241.92
  7 Kartoffeln                    Carrefar S.A.                           100000.0 g          205.0       1435.0
 83 Raclettekaese                 Carrefar S.A.                             1000.0 g            6.87       570.21
 10 Salatgurke                    Carrefar S.A.                               10.0              7.08        70.8
 57 Mozzarellakugeln              Carrefar S.A.                             1000.0 g            5.08       289.56
 38 Gorgonzola                    Carrefar S.A.                             1000.0 g            5.03       191.14
 38 Wildlachs                     Carrefar S.A.                             1000.0 g           10.71       406.98
 34 Auberginen                    Carrefar S.A.                             1000.0 g            3.25       110.5
 29 Soja-Gyros                    Carrefar S.A.                             1000.0 g            6.82       197.78
 46 Lauch                         Carrefar S.A.                             1000.0 g            3.41       156.86
 19 Currypulver                   Carrefar S.A.                             1000.0 g            6.82       129.58
 28 Chilipulver                   Carrefar S.A.                             1000.0 g            6.52       182.56
  5 Kurkuma                       Carrefar S.A.                             1000.0 g            7.57        37.85
 38 Sellerie                      Carrefar S.A.                             1000.0 g            1.83        69.54
  3 Kreuzkuemmel                  Carrefar S.A.                             1000.0 g            5.98        17.94
 16 Knoblauchpulver               Carrefar S.A.                             1000.0 g            6.29       100.64
109 Dosenananas                   Carrefar S.A.                             1000.0 g            5.25       572.25
  4 Liebstoeckel                  Carrefar S.A.                             1000.0 g            7.56        30.24
 59 Zitrone                       Carrefar S.A.                               10.0              3.4        200.6
  9 Semmelbroesel                 Carrefar S.A.                             1000.0 g            2.76        24.84
 42 Birnen                        Carrefar S.A.                             1000.0 g            4.89       205.38
  8 Vanillinzucker                Carrefar S.A.                             1000.0 g            2.58        20.64
 15 Rosinen                       Carrefar S.A.                             1000.0 g            6.39        95.85
  2 Puderzucker                   Carrefar S.A.                             1000.0 g            0.86         1.72
 34 Bratwurst                     Carrefar S.A.                             1000.0 g            3.43       116.62
 48 Camembert                     Carrefar S.A.                               10.0              8.64       414.72
 12 Buttergemuese TK              Carrefar S.A.                             1000.0 g            4.29        51.48
 34 Rumpsteak                     Carrefar S.A.                             1000.0 g            6.07       206.38
  6 Kraeuterbutter                Carrefar S.A.                             1000.0 g            3.71        22.26
  4 Remoulade                     Carrefar S.A.                             1000.0 g            2.15         8.6
 45 Vollmilchschokolade           Carrefar S.A.                             1000.0 g            6.4        288.0
