Kantinenplan für Essen
Datum   Hitlistenposition   Menge    Gericht                                                   Typ
 1        42                187      Rindergeschnetzeltes mit Reis                             Fleisch
 1         2                375      Penne Arrabiata Vegetarisch                               Vegetarisches
 1        18                187      Pizza Hawaii                                              Fleisch
 2        54                187      Rustikales Landhaussteak                                  Fleisch
 2        45                375      Gnocchipfanne                                             Vegetarisches
 2        47                187      Belgische Pommes Rot-Weiss                                Vegetarisches
 3        69                187      Schweinesteak Essener Art                                 Fleisch
 3        81                187      Gefuellte Paprika                                         Vegetarisches
 3        23                375      Bunte Gemuesepfanne                                       Vegetarisches
 4       108                187      Schweinegeschnetzeltes mit Kartoffelpuffer                Fleisch
 4        24                375      Frischer Garnelensalat                                    Vegetarisches
 4        87                187      Surf and Turf mit Pommes                                  Fisch
 5        21                187      Cordon Bleu mit Kartoffeln                                Fleisch
 5        36                187      Frittierte Mozzarellakugeln in Gorgonzolasauce            Vegetarisches
 5        15                375      Italienische Gemuesepfanne mit Haehnchen                  Fleisch
 6        41                375      Schweinefilet mit gruenem Pfeffer und Reis                Fleisch
 6        46                187      Penne mit Pesto Verde                                     Vegetarisches
 6        88                187      Tomatensuppe mit Bratwurstbaellchen                       Fleisch
 7        93                187      Spaetzle mit Schinken-Kaese-Sahnesauce                    Fleisch
 7        61                375      Veggiburger                                               Vegetarisches
 7       103                187      Fischsuppe                                                Fisch
 8         5                375      Rouladen mit Rotkohl und Kartoffeln                       Fleisch
 8         9                187      Pfannkuchen mit Kirschen                                  Vegetarisches
 8        66                187      Pfannkuchen mit Apfelmus                                  Vegetarisches
 9        20                375      Haehnchenbrust in Salbeisauce m. Reis                     Fleisch
 9        73                187      Schwaebische Maultaschen                                  Vegetarisches
 9        48                187      Gnocchi mit Tomatensauce                                  Vegetarisches
10        91                187      Spinat-Cannelloni                                         Fleisch
10        13                375      Pilzravioli mit Sauce Hollandaise                         Vegetarisches
10        77                187      Gemuesecurry                                              Vegetarisches
11        83                187      Cheeseburger                                              Fleisch
11        74                187      Penne Aglio e Olio                                        Vegetarisches
11        49                375      Spaghetti Aglio e Olio                                    Vegetarisches
12        43                187      Truthahn in Estragonsauce mit Reis                        Fleisch
12         4                375      Nudelsuppe                                                Vegetarisches
12        99                187      Poekelfleisch mit Reis                                    Fleisch
13        34                187      Moussaka                                                  Fleisch
13       101                187      Pfannkuchen mit Pilzen                                    Vegetarisches
13         1                375      Bohneneintopf Mexiko                                      Vegetarisches
14       106                187      Fleischtopf a la Gourmand                                 Fleisch
14         8                375      Raclette                                                  Vegetarisches
14        40                187      Penne mit Pesto Rosso                                     Vegetarisches
15        90                187      Koenigsberger Klopse                                      Fleisch
15       109                187      Gemuesetopf Bombay                                        Vegetarisches
15        16                375      Kugelfisch-Pfanne                                         Fisch
